Category,Multi Asset Allocation,Mutual Fund,Scheme Name,Scheme Code,Primary Benchmark (Most Common)
Debt Scheme,Ultra Short Duration Fund,HDFC,HDFC Ultra Short Term Fund - Weekly IDCW Option,145038,NIFTY Ultra Short Duration Debt Index
Debt Scheme,Low Duration Fund,HDFC,HDFC Low Duration  Fund - Daily IDCW,105548,NIFTY Low Duration Debt Index
Debt Scheme,Low Duration Fund,HDFC,HDFC Low Duration  Fund - Growth,102452,NIFTY Low Duration Debt Index
Debt Scheme,Low Duration Fund,HDFC,HDFC Low Duration  Fund - Monthly IDCW,105543,NIFTY Low Duration Debt Index
Debt Scheme,Low Duration Fund,HDFC,HDFC Low Duration  Fund - Weekly IDCW,102453,NIFTY Low Duration Debt Index
Debt Scheme,Money Market Fund,HDFC,HDFC Money Market Fund - Daily IDCW Option,101994,NIFTY Money Market Index (A-I / B-I)
Debt Scheme,Money Market Fund,HDFC,HDFC Money Market Fund - Growth Option,101993,NIFTY Money Market Index (A-I / B-I)
Debt Scheme,Money Market Fund,HDFC,HDFC Money Market Fund - Weekly IDCW Option,101995,NIFTY Money Market Index (A-I / B-I)
Debt Scheme,Short Duration Fund,HDFC,HDFC Short Term  Debt Fund - Fortnightly IDCW Option,113048,NIFTY Short Duration Debt Index
Debt Scheme,Short Duration Fund,HDFC,HDFC Short Term  Debt Fund - Growth Option,113047,NIFTY Short Duration Debt Index
Debt Scheme,Short Duration Fund,HDFC,HDFC Short Term  Debt Fund - Normal IDCW Option,133368,NIFTY Short Duration Debt Index
Debt Scheme,Medium Duration Fund,HDFC,HDFC Medium Term Debt Fund - Fornightly IDCW Option,101990,NIFTY Medium Duration Debt Index
Debt Scheme,Medium Duration Fund,HDFC,HDFC Medium Term Debt Fund - Growth Option,101989,NIFTY Medium Duration Debt Index
Debt Scheme,Medium Duration Fund,HDFC,HDFC Medium Term Debt Fund - IDCW Option,132852,NIFTY Medium Duration Debt Index
Debt Scheme,Medium to Long Duration Fund,HDFC,HDFC Income Fund - Growth Option,100124,NIFTY Medium to Long Duration Debt Index
Debt Scheme,Medium to Long Duration Fund,HDFC,HDFC Income Fund - Normal IDCW Option,133366,NIFTY Medium to Long Duration Debt Index
Debt Scheme,Medium to Long Duration Fund,HDFC,HDFC Income Fund - Quarterly IDCW Option,100123,NIFTY Medium to Long Duration Debt Index
Debt Scheme,Long Duration Fund,HDFC,HDFC Long Duration Debt Fund - Growth Option,151314,NIFTY Long Duration Debt Index A-III
Debt Scheme,Long Duration Fund,HDFC,HDFC Long Duration Debt Fund - IDCW Option,151311,NIFTY Long Duration Debt Index A-III
Debt Scheme,Dynamic Bond,HDFC,HDFC Dynamic Debt Fund - Growth Option,101872,NIFTY Composite Debt Index (A-III)
Debt Scheme,Dynamic Bond,HDFC,HDFC Dynamic Debt Fund - Half Yearly IDCW Option,101874,NIFTY Composite Debt Index (A-III)
Debt Scheme,Dynamic Bond,HDFC,HDFC Dynamic Debt Fund - Normal IDCW Option,133370,NIFTY Composite Debt Index (A-III)
Debt Scheme,Dynamic Bond,HDFC,HDFC Dynamic Debt Fund - Quarterly IDCW Option,101873,NIFTY Composite Debt Index (A-III)
Debt Scheme,Dynamic Bond,HDFC,HDFC Dynamic Debt Fund - Yearly IDCW Option,101875,NIFTY Composite Debt Index (A-III)
Debt Scheme,Corporate Bond Fund,HDFC,HDFC Corporate Bond Fund - Growth Option,113070,NIFTY Corporate Bond Index (A-II / B-III)
Debt Scheme,Corporate Bond Fund,HDFC,HDFC Corporate Bond Fund - IDCW Option,132848,NIFTY Corporate Bond Index (A-II / B-III)
Debt Scheme,Corporate Bond Fund,HDFC,HDFC Corporate Bond Fund - Quarterly IDCW Option,113071,NIFTY Corporate Bond Index (A-II / B-III)
Debt Scheme,Credit Risk Fund,HDFC,HDFC Credit Risk Debt Fund - Growth Option,128053,NIFTY Credit Risk Bond Index (B-II / C-III)
Debt Scheme,Credit Risk Fund,HDFC,HDFC Credit Risk Debt Fund - IDCW Option,133148,NIFTY Credit Risk Bond Index (B-II / C-III)
Debt Scheme,Credit Risk Fund,HDFC,HDFC Credit Risk Debt Fund - Quarterly IDCW Option,128052,NIFTY Credit Risk Bond Index (B-II / C-III)
Debt Scheme,Banking and PSU Fund,HDFC,HDFC Banking and PSU Debt Fund - Growth Option,128628,NIFTY Banking & PSU Debt Index
Debt Scheme,Banking and PSU Fund,HDFC,HDFC Banking and PSU Debt Fund - IDCW Option,128627,NIFTY Banking & PSU Debt Index
Debt Scheme,Gilt Fund,HDFC,HDFC Gilt Fund - Growth Plan,101083,NIFTY All Duration G-Sec Index
Debt Scheme,Gilt Fund,HDFC,HDFC Gilt Fund - IDCW Plan,101084,NIFTY All Duration G-Sec Index
Debt Scheme,Floater Fund,HDFC,HDFC Floating Rate Debt Fund - Daily IDCW Option,106838,NIFTY Ultra Short Duration Debt Index
Debt Scheme,Floater Fund,HDFC,HDFC Floating Rate Debt Fund - Growth Option,106841,NIFTY Ultra Short Duration Debt Index
Debt Scheme,Floater Fund,HDFC,HDFC Floating Rate Debt Fund - Monthly IDCW Option,106839,NIFTY Ultra Short Duration Debt Index
Debt Scheme,Floater Fund,HDFC,HDFC Floating Rate Debt Fund - Weekly IDCW Option,106840,NIFTY Ultra Short Duration Debt Index
