Fund Name,Category,Subcategory,ISIN,Scheme Code,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,Alpha Score (12),Sharpe Score (12),Std Dev Score (6),Beta Score (6),Sortino Score (4),Total Score (40),Risk Label
UTI Gold ETF,commodity,Commodities: Gold,INF843K01377,152986,Direct,43.29,33.33,23.51,Domestic Prices of Gold,47.23,34.53,24.8,-0.55,0.99,1.27,19.98,31.15,,,,,1,https://www.valueresearchonline.com/funds/4954/,4,10,5,6,N/A,25,Low Risk
Zerodha Gold ETF,commodity,Commodities: Gold,INF0R8F01042,152476,Direct,43.18,,,Domestic Prices of Gold,47.23,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44177/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Zerodha Gold ETF FoF Dir,commodity,Commodities: Gold,INF0R8F01083,152478,Direct,42.22,,,Domestic Prices of Gold,47.23,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44674/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
360 ONE Silver ETF,commodity,Commodities: Silver,INF579M01BC3,153415,Direct,105.38,,,Domestic Prices of Silver,112.94,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45054/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
ABSL Silver ETF,commodity,Commodities: Silver,INF209KB19F6,153433,Direct,106.2,46.22,,Domestic Prices of Silver,112.94,48.78,,-1.11,0.99,0.96,43.06,46.98,,,,,1,https://www.valueresearchonline.com/funds/42016/,4,6,1,6,N/A,17,Moderately High Risk
ABSL Silver ETF FoF Dir,commodity,Commodities: Silver,INF209KB16F2,149780,Direct,102.08,45.41,,Domestic Prices of Silver,112.94,48.78,,2.37,0.85,1.03,37.62,44.57,,,,,1,https://www.valueresearchonline.com/funds/42019/,8,8,1,2,N/A,19,Moderate Risk
Angel One Silver ETF,commodity,Commodities: Silver,INF1J2R01171,154205,Direct,,,,Domestic Prices of Silver,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45828/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Angel One Silver ETF FoF Dir,commodity,Commodities: Silver,INF1J2R01155,154206,Direct,,,,Domestic Prices of Silver,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45827/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Axis Silver ETF,commodity,Commodities: Silver,INF846K01XZ3,151915,Direct,105.8,46.59,,Domestic Prices of Silver,112.94,48.78,,-0.74,0.98,0.96,42.93,47.15,,,,,1,https://www.valueresearchonline.com/funds/42522/,4,6,1,5,N/A,16,Moderately High Risk
Axis Silver FoF Dir,commodity,Commodities: Silver,INF846KA1408,154078,Direct,102.59,45.66,,Domestic Prices of Silver,112.94,48.78,,2.81,0.84,1.04,37.25,44.64,,,,,1,https://www.valueresearchonline.com/funds/42525/,8,8,1,2,N/A,19,Moderate Risk
Bandhan Silver ETF,commodity,Commodities: Silver,INF194KB1KI9,153929,Direct,,,,Domestic Prices of Silver,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45671/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Bandhan Silver ETF FoF Dir,commodity,Commodities: Silver,INF194KB1KN9,154136,Direct,,,,Domestic Prices of Silver,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45734/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
DSP Silver ETF,commodity,Commodities: Silver,INF740KA1WB5,151862,Direct,106.14,46.51,,Domestic Prices of Silver,112.94,48.78,,-0.93,0.99,0.96,43.09,47.2,,,,,1,https://www.valueresearchonline.com/funds/42419/,4,6,1,6,N/A,17,Moderately High Risk
DSP Silver ETF FoF Dir,commodity,Commodities: Silver,INF740KA1VZ0,152184,Direct,102.83,,,Domestic Prices of Silver,112.94,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45137/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
