Fund Name,Category,Subcategory,ISIN,Scheme Code,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,Alpha Score (12),Sharpe Score (12),Std Dev Score (6),Beta Score (6),Sortino Score (4),Total Score (40),Risk Label
Axis Focused Dir,equity,equity,INF846K01CQ8,120468,Direct,-3.07,9.75,6.54,BSE 500 TRI,-1.52,12.67,12.33,-2.12,0.91,0.3,14.97,10.25,,,,,25,https://www.valueresearchonline.com/funds/15684/,2,2,3,4,N/A,11,High Risk
Axis Nifty 500 Index Dir,equity,equity,INF846K019W9,152731,Direct,-1.52,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44413/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Axis Nifty500 Momentum 50 Index Dir,equity,equity,INF846KA1044,153244,Direct,-2.54,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44905/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Axis Nifty500 Quality 50 Index Dir,equity,equity,INF846KA1200,153829,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45468/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Bajaj Finserv Flexi Cap Dir,equity,equity,INF0QA701342,151895,Direct,5.6,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43653/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Bandhan Flexi Cap Dir,equity,equity,INF194K01W62,118424,Direct,-0.51,13.27,12.09,BSE 500 TRI,-1.52,12.67,12.33,1.23,0.88,0.55,13.7,13.34,,,,,25,https://www.valueresearchonline.com/funds/16501/,6,2,4,4,N/A,16,Moderately High Risk
Bandhan Focused Dir,equity,equity,INF194K01W21,118421,Direct,1.27,15.92,13.8,BSE 500 TRI,-1.52,12.67,12.33,3.05,0.98,0.61,16.61,15.9,,,,,25,https://www.valueresearchonline.com/funds/16507/,10,4,3,3,N/A,20,Moderate Risk
Bandhan Nifty 500 Momentum 50 Index Dir,equity,equity,INF194KB1DP9,150591,Direct,-2.78,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44630/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Bandhan Nifty Alpha 50 Index Dir,equity,equity,INF194KB1HA2,152177,Direct,-0.42,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43864/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Bandhan Nifty Total Mkt Index Dir,equity,equity,INF194KB1IK9,152716,Direct,-1.5,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44403/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Bank of India Flexi Cap Dir,equity,equity,INF761K01FF5,148404,Direct,8.79,22.35,18.22,BSE 500 TRI,-1.52,12.67,12.33,8.01,1.13,0.85,19,21.94,,,,,25,https://www.valueresearchonline.com/funds/41018/,12,6,2,2,N/A,22,Moderate Risk
Baroda BNP Paribas Children's Dir,equity,equity,INF251K01UE9,153171,Direct,4.81,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44780/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Baroda BNP Paribas Flexi Cap Dir,equity,equity,INF251K01QZ2,150387,Direct,0.49,14.29,,BSE 500 TRI,-1.52,12.67,,1.69,0.99,0.56,15.73,14.65,,,,,25,https://www.valueresearchonline.com/funds/42312/,8,2,3,3,N/A,16,Moderately High Risk
Baroda BNP Paribas Focused Dir,equity,equity,INF251K01PN0,150264,Direct,-5.67,11.22,11.74,BSE 500 TRI,-1.52,12.67,12.33,-1.64,1.08,0.36,17.18,11.93,,,,,25,https://www.valueresearchonline.com/funds/34653/,4,2,2,2,N/A,10,High Risk
Canara Robeco Flexi Cap Dir,equity,equity,INF760K01EF0,118275,Direct,-0.74,13,12.22,BSE 500 TRI,-1.52,12.67,12.33,0.58,0.93,0.51,14.47,13.11,,,,,25,https://www.valueresearchonline.com/funds/16588/,6,2,3,4,N/A,15,Moderately High Risk
Canara Robeco Focused Dir,equity,equity,INF760K01JQ6,148883,Direct,-2.36,14.31,14.44,BSE 500 TRI,-1.52,12.67,12.33,1.79,0.92,0.58,14.52,14.2,,,,,25,https://www.valueresearchonline.com/funds/41458/,8,2,3,4,N/A,17,Moderately High Risk
Capitalmind Flexi Cap Dir,equity,equity,INF226401018,153738,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45313/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
DSP Flexi Cap Dir,equity,equity,INF740K01PI2,119076,Direct,-0.28,14.07,12.13,BSE 500 TRI,-1.52,12.67,12.33,1.5,0.97,0.55,15.33,14.3,,,,,25,https://www.valueresearchonline.com/funds/16386/,8,2,3,3,N/A,16,Moderately High Risk
DSP Focused Dir,equity,equity,INF740K01OB0,119096,Direct,1.11,16.22,12.23,BSE 500 TRI,-1.52,12.67,12.33,3.55,0.96,0.67,15.58,16.28,,,,,25,https://www.valueresearchonline.com/funds/16388/,10,4,3,3,N/A,20,Moderate Risk
DSP Nifty 500 Index Dir,equity,equity,INF740KA1XY9,154088,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45719/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
DSP Nifty500 Flexicap Quality 30 ETF,equity,equity,INF740KA1WR5,153801,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45521/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
DSP Nifty500 Flexicap Quality 30 Index Dir,equity,equity,INF740KA1WR5,153801,Direct,,,,BSE 500 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45446/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Edelweiss Flexi Cap Dir,equity,equity,INF843K01KK1,140353,Direct,1.1,16.29,15.23,BSE 500 TRI,-1.52,12.67,12.33,3.3,0.99,0.68,15.37,16.21,,,,,25,https://www.valueresearchonline.com/funds/29263/,10,4,3,3,N/A,20,Moderate Risk
Edelweiss Focused Dir,equity,equity,INF754K01OP1,150376,Direct,-0.28,14.71,,BSE 500 TRI,-1.52,12.67,,2.14,0.98,0.6,15.46,15.03,,,,,25,https://www.valueresearchonline.com/funds/42298/,8,4,3,3,N/A,18,Moderate Risk
Franklin India Flexi Cap Dir,equity,equity,INF090I01FK3,118535,Direct,-3.82,14.77,14.44,BSE 500 TRI,-1.52,12.67,12.33,2.26,0.92,0.62,14.37,14.7,,,,,25,https://www.valueresearchonline.com/funds/16008/,8,4,3,4,N/A,19,Moderate Risk
Franklin India Focused Equity Dir,equity,equity,INF090I01IW2,118564,Direct,-6.19,10.68,12.48,BSE 500 TRI,-1.52,12.67,12.33,-1.17,0.87,0.37,13.85,10.89,,,,,25,https://www.valueresearchonline.com/funds/15990/,4,2,4,4,N/A,14,Moderately High Risk
Groww Nifty 500 Low Volatility 50 ETF,equity,equity,INF666M01EK5,145589,Direct,-0.37,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45217/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Groww Nifty 500 Momentum 50 ETF,equity,equity,INF666M01JX7,153453,Direct,-2.74,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45094/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Groww Nifty 500 Momentum 50 ETF FoF Dir,equity,equity,INF666M01JX7,153453,Direct,-3.12,,,BSE 500 TRI,-1.52,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45097/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Groww Nifty Total Market Index Dir,equity,equity,INF666M01HM4,152092,Direct,-1.45,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43806/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
HDFC BSE 500 ETF,equity,equity,INF179KA1IZ7,128629,Direct,-1.82,12.31,,BSE 500 TRI,-1.52,12.67,,-0.32,1,0.45,15.3,12.69,,,,,25,https://www.valueresearchonline.com/funds/43117/,4,2,3,3,N/A,12,Moderately High Risk
HDFC BSE 500 Index Dir,equity,equity,INF179KC1GG9,151728,Direct,-1.88,12.03,,BSE 500 TRI,-1.52,12.67,,-0.56,1,0.43,15.24,12.43,,,,,25,https://www.valueresearchonline.com/funds/43477/,4,2,3,3,N/A,12,Moderately High Risk
