fund_name,plan,vr_id,category,isin,scheme_code,ytm,mac_duration,avg_maturity,avg_credit_rating,ytm_score_10,duration_score_10,maturity_score_10,credit_score_10,total_score_40,risk_category,fund_rating,b1y,b3y,b5y,f1y,f3y,f5y,cr_aaa,cr_cash_eq,cr_sov,cr_unrated,num_securities
DSP BSE Liquid Rate ETF,Direct,44244,Debt: Liquid,INF740KA1UM0,152555,--,--,--,Cash,1,1,1,10,13,High Risk,Poor,5.75,--,--,5.03,--,--,--,100,--,--,--
DSP Liquidity Dir,Direct,16111,Debt: Liquid,INF740K01QL4,119125,6.31,0.12,0.12,AAA,5,10,10,9,34,Low Risk,Good,6.14,6.9,6.09,6.27,6.99,6.15,92.05,-6.52,14.25,0.22,134
DSP NIFTY 1D Rate Liquid ETF,Direct,35400,Debt: Liquid,INF740KA1EU7,142589,--,--,--,Cash,1,1,1,10,13,High Risk,Poor,5.75,6.68,5.9,4.72,5.78,5.09,--,100,--,--,--
Edelweiss Liquid Dir,Direct,16576,Debt: Liquid,INF754K01GM4,140196,6.08,0.09,0.08,AAA,3,10,10,9,32,Low Risk,Good,6.14,6.9,6.09,6.28,7.02,6.18,76.62,13.68,9.51,0.19,96
Edelweiss Nifty 1D Rate Liquid ETF-Growth,Direct,45545,--,INF754K01GM4,140196,5.23,0.01,0.01,Cash,1,10,10,10,31,Low Risk,Good,--,--,--,51,39,38,--,100,--,--,--
Franklin India Liquid Super Inst Plan Dir,Direct,16848,Debt: Liquid,INF090I01JV2,118577,6.13,0.08,0.08,AAA,4,10,10,9,33,Low Risk,Good,6.14,6.9,6.09,6.25,6.98,6.14,79.2,18.26,2.33,0.21,35
Groww Liquid Dir,Direct,15583,Debt: Liquid,INF666M01451,119135,6.13,0.09,0.09,AAA,4,10,10,9,33,Low Risk,Good,6.14,6.9,6.09,6.26,6.99,6.03,78.79,20.96,--,0.25,16
Groww Nifty 1D Rate Liquid ETF,Direct,44564,Debt: Liquid,INF666M01JQ1,153328,5.25,0.01,0.01,Cash,1,10,10,10,31,Low Risk,Good,5.75,--,--,4.83,--,--,--,100,--,--,--
HDFC Liquid Dir,Direct,16167,Debt: Liquid,INF179KB1HP9,119091,6.24,0.12,0.13,AAA,4,10,10,9,33,Low Risk,Good,6.14,6.9,6.09,6.22,6.94,6.11,86.49,-6.65,19.89,0.27,167
HDFC NIFTY 1D RATE LIQUID ETF-Growth,Direct,43738,Debt: Liquid,INF179KB1HP9,119091,5.25,0.01,0.01,Cash,1,10,10,10,31,Low Risk,Good,5.75,--,--,4.87,--,--,--,100,--,--,--
HSBC Liquid Dir,Direct,16285,Debt: Liquid,INF336L01CC8,120038,6.28,0.12,0.12,AAA,4,10,10,9,33,Low Risk,Good,6.14,6.9,6.09,6.21,6.97,6.14,91.78,-11.47,19.39,0.3,79
ICICI Pru BSE Liquid Rate ETF-Growth,Direct,45036,Debt: Liquid,INF109K1A021,153378,5.24,0.01,0.01,Cash,1,10,10,10,31,Low Risk,Good,5.75,--,--,5.09,--,--,--,100,--,--,--
ICICI Pru BSE Liquid Rate ETF-IDCW,Direct,37659,Debt: Liquid,INF109KC1KT9,144947,5.24,0.01,0.01,Cash,1,10,10,10,31,Low Risk,Good,5.75,6.68,5.9,5.06,5.93,5.31,--,100,--,--,--
ICICI Pru Liquid Dir,Direct,15961,Debt: Liquid,INF109K01Q49,120197,6.15,0.1,0.1,AAA,4,10,10,9,33,Low Risk,Good,6.14,6.9,6.09,6.19,6.95,6.12,81.51,2.1,16.12,0.26,125
ITI Liquid Dir,Direct,39839,Debt: Liquid,INF00XX01283,147157,5.99,0.1,0.1,AAA,3,10,10,9,32,Low Risk,Good,6.14,6.9,6.09,6.14,6.75,5.93,70.89,10.57,18.2,0.34,9
Invesco India Liquid Dir,Direct,16780,Debt: Liquid,INF205K01MF9,120537,6.15,0.1,0.1,AAA,3,10,10,9,32,Low Risk,Good,6.14,6.9,6.09,6.21,6.95,6.12,83.45,4.17,12.11,0.27,103
JM Liquid Dir,Direct,16741,Debt: Liquid,INF192K01CM6,120406,6.23,0.12,0.12,AAA,3,10,10,9,32,Low Risk,Good,6.14,6.9,6.09,6.14,6.89,6.09,86.83,1.48,10.59,0.29,51
JioBlackRock Liquid Dir,Direct,45288,--,INF22M001010,153651,6.24,0.11,0.11,AAA,3,10,10,9,32,Low Risk,Good,--,--,--,38,35,35,86.13,9.28,4.38,0.22,53
Kotak Liquid Dir,Direct,16365,Debt: Liquid,INF174K01NE8,119766,6.31,0.11,0.11,AAA,4,10,10,9,33,Low Risk,Good,6.14,6.9,6.09,6.22,6.95,6.12,90.19,-9.93,19.51,0.23,150
Kotak Nifty 1D Rate Liquid ETF,Direct,43078,Debt: Liquid,INF174K01NE8,119766,5.1,0.01,0.01,Cash,1,10,10,10,31,Low Risk,Good,5.75,6.68,--,5.14,6.01,--,--,100,--,--,--
LIC MF Liquid Dir,Direct,16822,Debt: Liquid,INF767K01DN1,120249,6.03,0.09,0.09,AAA,4,10,10,9,33,Low Risk,Good,6.14,6.9,6.09,6.23,6.94,6.12,78.7,4.82,16.27,0.21,89
Mahindra Manulife Liquid Dir,Direct,32624,Debt: Liquid,INF174V01044,139538,6.26,0.13,0.13,AAA,4,10,10,9,33,Low Risk,Good,6.14,6.9,6.09,6.25,6.99,6.18,73.55,5.91,15.5,0.31,28
Mirae Asset Liquid Dir,Direct,16554,Debt: Liquid,INF769K01CM1,118859,6.11,0.12,0.12,AAA,3,10,10,9,32,Low Risk,Good,6.14,6.9,6.09,6.19,6.96,6.14,76.54,3.16,19.98,0.32,103
Mirae Asset Nifty 1D Rate Liquid ETF-Growth,Direct,44705,Debt: Liquid,INF769K01MY5,153045,5.7,0.01,0.01,Cash,1,1,1,10,13,High Risk,Poor,5.75,--,--,5.13,--,--,--,100,--,--,--
Mirae Asset Nifty 1D Rate Liquid ETF-IDCW,Direct,43679,Debt: Liquid,INF769K01KS1,151908,5.7,0.01,0.01,Cash,1,1,1,10,13,High Risk,Poor,5.75,--,--,5,--,--,--,100,--,--,--
Motilal Oswal Liquid Dir,Direct,38515,Debt: Liquid,INF247L01734,145834,5.88,0.09,0.09,AAA,3,10,10,9,32,Low Risk,Good,6.14,6.9,6.09,5.88,6.58,5.77,56.15,18.03,25.48,0.34,16
Navi Liquid Dir,Direct,16473,Debt: Liquid,INF959L01GF1,119164,5.73,0.07,0.07,AAA,2,10,10,9,31,Low Risk,Good,6.14,6.9,6.09,5.72,6.49,5.91,61.74,24.61,13.03,0.62,10
Nippon India ETF Nifty 1D Rate Liquid BeES,Direct,1787,Debt: Liquid,INF204KC1FU1,153725,5.24,0.01,0.01,CASH,1,10,10,10,31,Low Risk,Good,5.75,6.68,5.9,4.54,5.34,4.75,--,99.49,--,0.51,--
Nippon India Liquid Dir,Direct,16100,Debt: Liquid,INF204K01ZH0,118701,6.34,0.11,0.12,AAA,4,10,10,9,33,Low Risk,Good,6.14,6.9,6.09,6.26,6.98,6.16,89.84,-3.78,13.66,0.28,169
Nippon India Nifty 1D Rate Liquid ETF-Growth,Direct,45364,--,INF204KC1FU1,153725,5.24,0.01,0.01,CASH,1,10,10,10,31,Low Risk,Good,--,--,--,51,39,38,--,99.46,--,0.54,--
