Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,ISIN,Scheme Code,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Sortino Ratio,Std Dev,Mean Return (%),No. of Stocks,Top 10 Stocks (%),Top 5 Stocks (%),Top 3 Sectors (%),No. of Securities,Portfolio P/E,Portfolio P/B,Alpha Score (/12),Beta Score (/6),Sharpe Score (/12),Sortino Score (/4),Std Dev Score (/6),VR Stars,Score (/40),Risk Category,Fund Rating,Top Holdings Count,Fund URL
Mahindra Manulife Mid Cap Reg,equity,equity,Regular,13.25,17.43,17.16,BSE 150 MidCap TRI*,INF174V01473,142109,8.64,16.1,16.21,1.74,0.95,0.75,1.01,17.19,18.63,55,26.81,14.98,65.22,,33.88,3.71,8,4,4,2,2,4,20,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/34954/
Mirae Asset Midcap Reg,equity,equity,Regular,12.31,15.74,14.86,BSE 150 MidCap TRI*,INF769K01KH4,151812,8.64,16.1,16.21,-0.37,1,0.63,0.79,18.03,17.07,66,31.41,17.04,54.19,,35.24,3.8,4,3,4,0,2,3,13,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/40046/
Mirae Asset Nifty MidSmallcap400 Mom Qlty 100 ETF FoF Reg,equity,equity,Regular,7.35,,,BSE 500 TRI*,INF769K01LK6,152647,2.44,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44303/
Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,equity,equity,Regular,8.06,,,BSE 500 TRI*,INF769K01LN0,152647,2.44,,,,,,,,,100,32.35,19.66,62,,29.7,5.34,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44302/
Mirae Asset Nifty Midcap 150 ETF,equity,equity,Regular,10.14,16.33,,BSE 150 MidCap TRI*,INF846K01EH3,120505,8.64,16.1,,0.37,1,0.68,0.89,17.94,17.89,150,18.01,10.69,55.51,,29.46,3.79,6,3,4,0,2,,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/42146/
Motilal Oswal Midcap Reg,equity,equity,Regular,-0.16,17.71,21.12,BSE 150 MidCap TRI*,INF247L01411,127039,8.64,16.1,16.21,2.87,0.97,0.7,0.93,20.53,20.06,30,54.97,34.1,68.53,,46.41,5.51,8,3,4,0,2,3,17,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/24078/
Motilal Oswal Nifty Midcap 100 ETF,equity,equity,Regular,11.28,17.13,17.4,BSE 150 MidCap TRI*,INF846K01EH3,120505,8.64,16.1,16.21,0.93,1.03,0.71,0.95,18.62,18.83,100,21.95,13.03,57.42,,29.77,3.76,6,3,4,0,2,,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/12012/
Motilal Oswal Nifty Midcap 150 Reg,equity,equity,Regular,9.1,15.35,15.88,BSE 150 MidCap TRI*,INF955L01IY6,154684,8.64,16.1,16.21,-0.48,1,0.63,0.82,17.94,17.03,150,18.01,10.7,55.54,,25.4,3.97,4,3,4,0,2,3,13,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/40241/
Motilal Oswal Nifty Midcap150 Momentum 50 ETF,equity,equity,Regular,5.32,,,BSE 500 TRI*,INF247L01734,145834,2.44,,,,,,,,,50,43.51,24.94,68.79,,27.08,4.34,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45331/
Navi Nifty MidSmallcap 400 Index Reg,equity,equity,Regular,,,,BSE 150 MidCap TRI*,INF959L01HS2,154026,,,,,,,,,,400,11.82,7.02,55.1,,27.53,3.78,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45653/
Navi Nifty Midcap 150 Index Reg,equity,equity,Regular,8.83,14.95,,BSE 150 MidCap TRI*,INF959L01FY4,149893,8.64,16.1,,-0.81,1,0.61,0.8,17.87,16.66,150,17.97,10.67,55.4,,25.4,3.97,4,3,4,0,2,3,13,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/42120/
Nippon India ETF Nifty Midcap 150,equity,equity,Regular,10.01,16.18,16.76,BSE 150 MidCap TRI*,INF204KB18Z7,148726,8.64,16.1,16.21,0.25,1,0.67,0.88,17.92,17.75,149,18.09,10.74,55.27,,29.4,3.78,6,3,4,0,2,,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/38950/
Nippon India Growth Mid Cap Inst,equity,equity,Regular,11.13,16.28,16.75,BSE 150 MidCap TRI*,INF761K01462,111712,8.64,16.1,16.21,1.05,0.92,0.69,0.9,17.18,17.59,101,25.04,13.54,61.47,,29.53,3.97,6,4,4,0,2,,16,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/5580/
Nippon India Growth Mid Cap Reg,equity,equity,Regular,10.01,18.2,17.75,BSE 150 MidCap TRI*,INF955L01IY6,154684,8.64,16.1,16.21,2.19,0.97,0.77,1.02,17.76,19.35,101,25.04,13.54,61.47,,29.53,3.97,8,3,4,2,2,5,19,Moderately High Risk,Excellent,25,https://www.valueresearchonline.com/funds/183/
Nippon India Nifty Midcap150 Reg,equity,equity,Regular,9.33,15.41,15.91,BSE 150 MidCap TRI*,INF204KB15Z3,148723,8.64,16.1,16.21,-0.42,1,0.64,0.83,17.91,17.08,149,18.11,10.75,55.32,,25.31,3.95,4,3,4,0,2,3,13,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41293/
PGIM India Midcap Reg,equity,equity,Regular,0.91,10.78,9.85,BSE 150 MidCap TRI*,INF663L01DZ4,125305,8.64,16.1,16.21,-3.64,0.86,0.4,0.52,16.18,12.22,108,22.03,12.4,55.5,,35.23,5.14,2,4,2,0,3,1,11,High Risk,Poor,25,https://www.valueresearchonline.com/funds/22365/
Quant Mid Cap Reg,equity,equity,Regular,7.4,10.84,14.43,BSE 150 MidCap TRI*,INF966L01176,101065,8.64,16.1,16.21,-3.23,0.92,0.42,0.62,18.11,13.28,28,62.66,39.82,46.7,,31.96,3.85,2,4,2,0,2,2,10,High Risk,Poor,23,https://www.valueresearchonline.com/funds/958/
SBI Midcap Reg,equity,equity,Regular,6.9,10.71,13.2,BSE 150 MidCap TRI*,INF200K01560,102941,8.64,16.1,16.21,-3.65,0.85,0.4,0.5,15.84,12.09,55,27.39,14.22,58.11,,37.93,4.82,2,5,2,0,3,2,12,High Risk,Poor,25,https://www.valueresearchonline.com/funds/2662/
SBI Nifty Midcap 150 ETF,equity,equity,Regular,,,,BSE 150 MidCap TRI*,INF200KB1BR1,154523,,,,,,,,,,150,18,10.69,55.48,,29.45,3.79,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45920/
SBI Nifty Midcap 150 Index Reg,equity,equity,Regular,9.39,15.4,,BSE 150 MidCap TRI*,INF200KA17O3,150672,8.64,16.1,,-0.42,1,0.64,0.83,17.92,17.08,150,18,10.69,55.53,,25.4,3.97,4,3,4,0,2,3,13,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/42583/
SBI Nifty Midcap 150 Momentum 50 ETF,equity,equity,Regular,,,,BSE 500 TRI*,INF200K01SH3,154523,,,,,,,,,,50,43.48,24.94,68.76,,27.08,4.34,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45872/
Samco Mid Cap Reg,equity,equity,Regular,,,,BSE 150 MidCap TRI*,INF767K01535,105823,,,,,,,,,,30,42.84,23.8,69.45,,16.75,2.92,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45739/
Sundaram Midcap Reg,equity,equity,Regular,9.07,18.46,16.54,BSE 150 MidCap TRI*,INF903J01173,101539,8.64,16.1,16.21,2.54,0.95,0.8,0.95,17.17,19.39,73,24.48,13.78,59.52,,38.38,4.56,8,4,6,0,2,4,20,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/1386/
TRUSTMF Mid Cap Reg,equity,equity,Regular,,,,BSE 150 MidCap TRI*,INF0GCD01719,152582,,,,,,,,,,69,27.48,15.58,58.86,,44.64,5.03,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45813/
Tata Mid Cap Reg,equity,equity,Regular,8.59,14.02,14.02,BSE 150 MidCap TRI*,INF277K01626,102328,8.64,16.1,16.21,-0.63,0.9,0.61,0.77,16.27,15.69,64,27.31,14.83,55.03,,36.81,4.32,4,4,4,0,3,3,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/103/
Tata Nifty Midcap 150 Index Reg,equity,equity,Regular,8.69,,,BSE 150 MidCap TRI*,INF277KA1DW6,153580,8.64,,,,,,,,,150,18.08,10.75,55.64,,25.4,3.97,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45220/
Tata Nifty Midcap 150 Momentum 50 Index Reg,equity,equity,Regular,4.66,14.34,,BSE 500 TRI*,INF277KA1646,150741,2.44,11.32,,3.21,1.16,0.57,0.74,19.88,16.94,50,43.6,24.99,68.94,,23.45,4.25,10,0,2,0,2,,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/42653/
Taurus Mid Cap Reg,equity,equity,Regular,6.63,9.19,12.32,BSE 150 MidCap TRI*,INF044D01815,100477,8.64,16.1,16.21,-5.92,0.98,0.31,0.47,18.4,11.33,39,46.43,27.13,55.34,,23.03,3.13,0,3,2,0,2,1,7,High Risk,Poor,25,https://www.valueresearchonline.com/funds/215/
UTI Midcap Reg,equity,equity,Regular,6.6,11.87,11.72,BSE 150 MidCap TRI*,INF767K01535,105823,8.64,16.1,16.21,-3.39,0.95,0.45,0.58,17.34,13.51,82,23.13,12.91,56.91,,32.36,4.19,2,4,2,0,2,1,10,High Risk,Poor,25,https://www.valueresearchonline.com/funds/2138/
UTI Nifty Midcap 150 ETF,equity,equity,Regular,9.97,16.2,,BSE 150 MidCap TRI*,INF789F1APF4,148086,8.64,16.1,,,,,,,,150,17.98,10.68,55.39,,29.46,3.79,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43743/
UTI Nifty Midcap 150 Index Reg,equity,equity,Regular,9.13,,,BSE 150 MidCap TRI*,INF789F1AZN7,153088,8.64,,,,,,,,,150,18,10.69,55.48,,25.4,3.97,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44724/
UTI Nifty Midcap 150 Quality 50 Index Reg,equity,equity,Regular,-0.13,8.48,,BSE 500 TRI*,INF789F1AVG0,150312,2.44,11.32,,-2.43,1.05,0.28,0.38,17.02,10.51,50,35.17,21.3,52.12,,30.23,5.83,2,3,2,0,2,,9,High Risk,Poor,25,https://www.valueresearchonline.com/funds/42252/
UTI Nifty Midsmallcap 400 Momentum Quality 100 Index Reg,equity,equity,Regular,7.7,,,BSE 500 TRI*,INF789F1AB06,153273,2.44,,,,,,,,,100,32.35,19.66,62.01,,28.39,5.25,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44912/
Union Midcap Reg,equity,equity,Regular,10.89,16.01,14.45,BSE 150 MidCap TRI*,INF582M01GM5,148071,8.64,16.1,16.21,0.68,0.92,0.68,0.81,17.11,17.25,73,24.35,14.24,59.44,,42.57,4.9,6,4,4,0,2,3,16,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/40767/
WhiteOak Capital Mid Cap Reg,equity,equity,Regular,15.62,21.08,,BSE 150 MidCap TRI*,INF03VN01563,150583,8.64,16.1,,4.83,0.91,0.92,1.21,16.88,21.29,145,24.01,13.74,54.71,,31.94,4.12,10,4,6,2,3,5,25,Moderate Risk,Excellent,25,https://www.valueresearchonline.com/funds/42481/
Zerodha Nifty Midcap 150 ETF,equity,equity,Regular,10.75,,,BSE 150 MidCap TRI*,INF579M01AN2,151165,8.64,,,,,,,,,150,18.01,10.7,55.5,,29.45,3.79,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44359/
ABSL Multi-Cap Reg,equity,equity,Regular,10.49,13.9,12.17,VR Multicap TRI*,INF209KB1Y23,148918,-2.34,10.48,11.24,3.66,0.93,0.59,0.73,16,15.07,86,23.26,13.36,53.81,,30.72,4.02,10,4,2,0,3,3,19,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41464/
Axis Multicap Reg,equity,equity,Regular,11.69,19,,VR Multicap TRI*,INF846K016E3,149382,-2.34,10.48,,8.25,0.91,0.87,1.05,15.88,19.54,109,23.51,14.63,61.14,,32.76,4.28,12,4,6,2,3,5,27,Low Risk,Excellent,25,https://www.valueresearchonline.com/funds/41883/
Bajaj Finserv Multi Cap Reg,equity,equity,Regular,11.6,,,VR Multicap TRI*,INF0QA701AS3,153307,-2.34,,,,,,,,,75,30.03,17.86,56.02,,30.11,3.49,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44916/
Bandhan Multi Cap Reg,equity,equity,Regular,3.09,11.73,,VR Multicap TRI*,INF194KB1CI6,149305,-2.34,10.48,,1.68,0.93,0.48,0.63,15.51,13.07,107,28.81,19.49,53.27,,24.86,3.02,8,4,2,0,3,2,17,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/41820/
Bank of India Multi Cap Reg,equity,equity,Regular,14.15,16.81,,VR Multicap TRI*,INF761K01FU4,151445,-2.34,10.48,,6.33,0.96,0.75,1.08,16.29,17.89,61,33.4,19.93,55.1,,25.75,3.72,12,3,4,2,3,4,24,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/43160/
Baroda BNP Paribas Multi Cap Reg,equity,equity,Regular,4.23,14.09,12.52,VR Multicap TRI*,INF955L01674,102020,-2.34,10.48,11.24,3.99,0.91,0.61,0.73,15.69,15.25,79,24.08,12.69,58.25,,32.36,3.9,10,4,4,0,3,3,21,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/1820/
Canara Robeco Multi Cap Reg,equity,equity,Regular,3.72,13.66,,VR Multicap TRI*,INF760K01KR2,151821,-2.34,10.48,,3.55,0.9,0.59,0.79,15.33,14.75,108,24.25,15.03,62.7,,30.72,4.4,10,4,2,0,3,3,19,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/43569/
DSP Multicap Reg,equity,equity,Regular,1.8,,,VR Multicap TRI*,INF740KA1TZ4,152307,-2.34,,,,,,,,,59,36.27,22.38,60.83,,27.08,3.51,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43997/
Edelweiss Multi Cap Reg,equity,equity,Regular,8.4,,,VR Multicap TRI*,INF754K01RW0,152095,-2.34,,,,,,,,,104,25.11,15.35,59.17,,27.56,3.85,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43780/
Edelweiss Nifty500 Multicap Momentum Quality 50 ETF,equity,equity,Regular,1.69,,,BSE 500 TRI*,INF754K01TN5,152985,2.44,,,,,,,,,50,47.19,25.35,78.75,,29.04,6.66,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44626/
Edelweiss Nifty500 Multicap Momentum Quality 50 Index Reg,equity,equity,Regular,1.03,,,BSE 500 TRI*,INF754K01TJ3,152988,2.44,,,,,,,,,50,47.2,25.36,78.76,,26.91,6.49,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44646/
Franklin India Multi Cap Reg,equity,equity,Regular,8.21,,,VR Multicap TRI*,INF955L01IY6,154684,-2.34,,,,,,,,,53,33.68,19.38,64.07,,26.55,3.63,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44408/
Groww Multicap Reg,equity,equity,Regular,18.67,,,VR Multicap TRI*,INF666M01JG2,153100,-2.34,,,,,,,,,78,26.72,14.56,62.12,,30.06,4.36,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44695/
HDFC Multi Cap Reg,equity,equity,Regular,0.44,11.17,,VR Multicap TRI*,INF277KA1299,149351,-2.34,10.48,,0.98,0.96,0.43,0.57,16.06,12.55,121,23.52,14.43,58.66,,26.22,3.59,6,3,2,0,3,2,14,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/41862/
HDFC Nifty500 Multicap 50:25:25 Index Reg,equity,equity,Regular,4.12,,,VR Multicap TRI*,INF955L01IY6,154684,-2.34,,,,,,,,,500,21.54,15.02,53.5,,22.57,3.4,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44462/
HSBC Multi Cap Reg,equity,equity,Regular,9.72,17.55,,VR Multicap TRI*,INF336L01QQ8,151289,-2.34,10.48,,6.71,1.01,0.74,0.99,17.44,18.61,101,21.72,12.57,55.82,,29.7,4.21,12,3,4,0,2,5,21,Moderate Risk,Excellent,25,https://www.valueresearchonline.com/funds/43021/
ICICI Pru Multicap,equity,equity,Regular,10.28,15.96,14.7,VR Multicap TRI*,INF754K01TJ3,152988,-2.34,10.48,11.24,5.72,0.92,0.72,1.01,15.68,17.05,164,23.73,13.38,65.69,,28.53,3.83,12,4,4,2,3,4,25,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/86/
ITI Multi Cap Reg,equity,equity,Regular,13.31,15.91,12.81,VR Multicap TRI*,INF00XX01135,147184,-2.34,10.48,11.24,5.31,1.02,0.66,0.84,17.41,17.23,77,26.64,16.68,57.63,,30.93,4.36,12,3,4,0,2,3,21,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/39829/
Invesco India Multicap Reg,equity,equity,Regular,3.38,13.15,11.21,VR Multicap TRI*,INF205K01DN2,107353,-2.34,10.48,11.24,2.72,0.99,0.51,0.62,17.28,14.51,68,28.22,16.07,59.82,,41.66,4.89,8,3,2,0,2,2,15,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/6675/
Kotak Multicap Reg,equity,equity,Regular,7.11,16.01,,VR Multicap TRI*,INF174KA1HS9,149182,-2.34,10.48,,5.17,1.03,0.66,0.81,17.43,17.2,72,34.71,19.59,61.18,,17.79,2.31,12,3,4,0,2,4,21,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/41705/
LIC MF Multi Cap Reg,equity,equity,Regular,11.04,16.82,,VR Multicap TRI*,INF767K01RH3,150661,-2.34,10.48,,6.15,1.01,0.7,0.87,17.67,18.05,64,25.94,16.41,58.06,,33.05,4.58,12,3,4,0,2,3,21,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/42627/
Mahindra Manulife Multi Cap Reg,equity,equity,Regular,15.18,16.33,15.02,VR Multicap TRI*,INF174V01317,141224,-2.34,10.48,11.24,5.79,0.95,0.71,0.96,16.47,17.31,71,29.06,18.23,51.88,,26.51,3.79,12,4,4,0,3,4,23,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/33984/
Mirae Asset Multicap Reg,equity,equity,Regular,5.12,13.1,,VR Multicap TRI*,INF769K01KH4,151812,-2.34,10.48,,2.62,0.96,0.53,0.71,16.12,14.22,78,28.34,17.67,56.48,,24.1,3.29,8,3,2,0,3,2,16,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/43576/
Mirae Asset Nifty500 Multicap 50:25:25 ETF,equity,equity,Regular,4.82,,,VR Multicap TRI*,INF769K01CM1,118859,-2.34,,,,,,,,,500,21.59,15.06,53.59,,23.36,3.23,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44491/
Motilal Oswal Multi Cap Reg,equity,equity,Regular,8.25,,,VR Multicap TRI*,INF247L01CO2,152650,-2.34,,,,,,,,,36,40.02,22.32,59.72,,45.28,4.74,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44337/
Navi Nifty 500 Multicap 50:25:25 Index Reg,equity,equity,Regular,3.94,,,VR Multicap TRI*,INF955L01IY6,154684,-2.34,,,,,,,,,500,21.2,14.79,52.66,,22.57,3.4,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44438/
Nippon India Multi Cap Reg,equity,equity,Regular,0.74,12.74,16.56,VR Multicap TRI*,INF955L01IY6,154684,-2.34,10.48,11.24,2.62,0.89,0.53,0.72,15.28,13.79,113,31.33,22.27,59.09,,27.43,3.96,8,4,2,0,3,3,17,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/2640/
Nippon India Nifty 500 Equal Weight Index Reg,equity,equity,Regular,5.42,,,VR Multicap TRI*,INF204KC1CX2,152840,-2.34,,,,,,,,,499,2.35,1.2,50.93,,22.55,3.39,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44513/
PGIM India Multi Cap Reg,equity,equity,Regular,8.4,,,VR Multicap TRI*,INF663L01Y87,152816,-2.34,,,,,,,,,96,25.22,16.32,55.36,,33.13,4.76,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44503/
PGIM India Retirement Reg,equity,equity,Regular,2.64,,,VR Multicap TRI*,INF663L01Y46,152538,-2.34,,,,,,,,,85,31.07,20.74,49.31,,34.32,4.88,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44251/
Quant Multi Cap Reg,equity,equity,Regular,8.96,8.98,10.85,VR Multicap TRI*,INF0GCD01537,151322,-2.34,10.48,11.24,-0.94,1.03,0.3,0.48,18.11,11.07,58,43.81,27.94,44.42,,24.83,2.38,4,3,2,0,2,1,11,High Risk,Poor,25,https://www.valueresearchonline.com/funds/952/
SBI Multicap Reg,equity,equity,Regular,1.84,12.79,,VR Multicap TRI*,INF200KA15E8,149886,-2.34,10.48,,2.93,0.82,0.56,0.78,14.05,13.63,64,33.37,19.71,64.46,,32.27,4.05,8,5,2,0,3,3,18,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/42106/
Samco Multi Cap Reg,equity,equity,Regular,-3.34,,,VR Multicap TRI*,INF0K1H01206,152848,-2.34,,,,,,,,,119,16.91,8.66,54.79,,14.77,3,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44526/
Sundaram Multi Cap Reg,equity,equity,Regular,4.37,12.95,11.46,VR Multicap TRI*,INF903J016H9,134356,-2.34,10.48,11.24,2.74,0.92,0.53,0.68,15.78,14.1,83,24.35,13.83,64.38,,26,3.3,8,4,2,0,3,2,17,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/866/
TRUSTMF Multi Cap Reg,equity,equity,Regular,18.21,,,VR Multicap TRI*,INF0GCD01842,153645,-2.34,,,,,,,,,69,25.49,14.99,64.72,,38,5.42,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45281/
Tata Multicap Reg,equity,equity,Regular,9.34,9.29,,VR Multicap TRI*,INF277KA1703,151235,-2.34,10.48,,-0.47,0.91,0.33,0.42,15.54,10.83,80,25.87,15.75,61.41,,22.04,3.07,4,4,2,0,3,1,13,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/43036/
UTI Multi Cap Reg,equity,equity,Regular,5.49,,,VR Multicap TRI*,INF789F1AB71,153516,-2.34,,,,,,,,,73,27.92,18.55,54.37,,19.33,3.02,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45141/
Union Multicap Reg,equity,equity,Regular,12.25,14.31,,VR Multicap TRI*,INF582M01IS8,150855,-2.34,10.48,,4.23,0.89,0.63,0.76,15.48,15.4,73,27.61,16.68,63.02,,32.95,4.35,10,4,4,0,3,3,21,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/42777/
WhiteOak Capital Multi Cap Reg,equity,equity,Regular,8.82,,,VR Multicap TRI*,INF03VN01795,152072,-2.34,,,,,,,,,201,22.32,15.04,55.27,,27.99,3.83,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43758/
ABSL Banking & Financial Services Reg,equity,equity,Regular,7.61,10.44,10.06,BSE Financial Services TRI*,INF209K011W7,125595,3.21,10.44,9.32,0,1.01,0.38,0.54,16.16,11.89,40,61.31,44.69,98.31,,18.46,2.49,6,3,2,0,3,3,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/22524/
ABSL Nifty Bank ETF,equity,equity,Regular,6.57,9.4,9.97,BSE Financial Services TRI*,INF209K01YN0,119550,3.21,10.44,9.32,-0.77,1.03,0.34,0.4,16.54,11.24,14,86.74,61.08,99.67,,13.93,1.66,4,3,2,0,3,,12,High Risk,Poor,14,https://www.valueresearchonline.com/funds/40378/
Aditya Birla SL BSE Top 10 Banks ETF,equity,equity,Regular,,,,BSE Financial Services TRI*,INF209K01YN0,119550,,,,,,,,,,10,99.55,80.19,99.55,,15.93,1.92,,,,,,,,,,10,https://www.valueresearchonline.com/funds/45861/
Axis Nifty Bank ETF,equity,equity,Regular,6.47,9.37,9.93,BSE Financial Services TRI*,INF846K01CR6,120438,3.21,10.44,9.32,-0.81,1.03,0.33,0.4,16.53,11.2,14,86.77,61.1,99.71,,13.93,1.66,4,3,2,0,3,,12,High Risk,Poor,14,https://www.valueresearchonline.com/funds/41162/
Axis Nifty Bank Index Reg,equity,equity,Regular,5.62,,,BSE Financial Services TRI*,INF846K012W4,152632,3.21,,,,,,,,,14,86.78,61.11,99.72,,13.23,1.71,,,,,,,,,,14,https://www.valueresearchonline.com/funds/44319/
Bajaj Finserv Banking And Financial Services Reg,equity,equity,Regular,,,,BSE Financial Services TRI*,INF0QA701BW3,153935,,,,,,,,,,38,60.84,43.09,97.83,,18.57,2.29,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45561/
Bajaj Finserv Nifty Bank ETF,equity,equity,Regular,6.58,,,BSE Financial Services TRI*,INF090I01VZ8,148304,3.21,,,,,,,,,14,86.69,61.05,99.62,,13.93,1.66,,,,,,,,,,14,https://www.valueresearchonline.com/funds/44067/
Bandhan Financial Services Reg,equity,equity,Regular,5.58,14.6,,BSE Financial Services TRI*,INF194KB1GE6,151818,3.21,10.44,,4.09,0.96,0.62,0.82,16.07,15.71,58,53.79,41.29,97.41,,18.73,2.31,10,3,4,0,3,4,20,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/43565/
Bandhan Nifty Bank Index Reg,equity,equity,Regular,5.54,,,BSE Financial Services TRI*,INF194KB1IN3,152792,3.21,,,,,,,,,14,86.85,61.17,99.8,,13.23,1.71,,,,,,,,,,14,https://www.valueresearchonline.com/funds/44476/
Bank of India Banking & Financial Services Reg,equity,equity,Regular,,,,BSE Financial Services TRI*,INF761K01HH7,154095,,,,,,,,,,33,56.11,40.87,96.14,,16.2,2.36,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45743/
Baroda BNP Paribas Banking & Fin Srvcs Reg,equity,equity,Regular,7.22,14.02,11.25,BSE Financial Services TRI*,INF903J016H9,134356,3.21,10.44,9.32,3.53,0.97,0.61,0.78,15.71,15.22,32,57.68,37.69,95.25,,18.26,2.22,10,3,4,0,3,3,20,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/14946/
Baroda BNP Paribas Nifty Bank ETF,equity,equity,Regular,6.47,,,BSE Financial Services TRI*,INF955L01JF3,152683,3.21,,,,,,,,,14,86.74,61.27,99.59,,13.93,1.66,,,,,,,,,,14,https://www.valueresearchonline.com/funds/44357/
Canara Robeco Banking And Financial Services Reg,equity,equity,Regular,,,,BSE Financial Services TRI*,INF00XX01BR2,149324,,,,,,,,,,28,62.54,42.79,96.81,,19.91,2.66,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45864/
DSP BSE Top 10 Banks ETF,equity,equity,Regular,,,,BSE Financial Services TRI*,INF194K01P38,118387,,,,,,,,,,10,99.47,80.11,99.47,,15.93,1.92,,,,,,,,,,10,https://www.valueresearchonline.com/funds/45893/
DSP Banking & Financial Services Reg,equity,equity,Regular,17.33,,,BSE Financial Services TRI*,INF740KA1TN0,152208,3.21,,,,,,,,,35,54.88,33.03,98.06,,19.37,2.7,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43890/
DSP Nifty Bank ETF,equity,equity,Regular,6.55,9.4,,BSE Financial Services TRI*,INF740K01ZW2,124175,3.21,10.44,,-0.77,1.03,0.34,0.4,16.54,11.23,14,86.71,61.06,99.64,,13.93,1.66,4,3,2,0,3,,12,High Risk,Poor,14,https://www.valueresearchonline.com/funds/42992/
DSP Nifty Bank Index Reg,equity,equity,Regular,5.75,,,BSE Financial Services TRI*,INF740KA1UN8,152653,3.21,,,,,,,,,14,86.72,61.06,99.65,,13.23,1.71,,,,,,,,,,14,https://www.valueresearchonline.com/funds/44335/
