Date,Price
16-09-2022,167.29
15-09-2022,170.21
14-09-2022,170.31
13-09-2022,174.12
12-09-2022,174.46
09-09-2022,173.24
08-09-2022,170.04
07-09-2022,170.79
06-09-2022,172.55
05-09-2022,172.67
02-09-2022,174.25
01-09-2022,175.94
31-08-2022,179.22
30-08-2022,178.16
29-08-2022,178.97
26-08-2022,181.49
25-08-2022,180.37
24-08-2022,175.09
23-08-2022,177.05
22-08-2022,178.47
19-08-2022,179.44
18-08-2022,179.71
17-08-2022,181.01
16-08-2022,180.48
15-08-2022,181.41
12-08-2022,181.76
11-08-2022,181.07
10-08-2022,176.63
09-08-2022,179.26
08-08-2022,179.66
05-08-2022,181.2
04-08-2022,179.55
03-08-2022,177.13
02-08-2022,176.19
01-08-2022,179.75
29-07-2022,180.79
28-07-2022,183.82
27-07-2022,184.03
26-07-2022,185.06
25-07-2022,183.84
22-07-2022,184.7
21-07-2022,185.03
20-07-2022,185.67
19-07-2022,184.15
18-07-2022,185.42
15-07-2022,181.95
14-07-2022,184.48
13-07-2022,184.45
12-07-2022,182.95
11-07-2022,186.25
08-07-2022,191.29
07-07-2022,190.23
06-07-2022,188.1
05-07-2022,191.2
04-07-2022,190.54
01-07-2022,191.16
30-06-2022,192.87
29-06-2022,194.93
28-06-2022,198.37
27-06-2022,198.03
24-06-2022,194.38
23-06-2022,190.6
22-06-2022,188.99
21-06-2022,193.88
20-06-2022,190.18
17-06-2022,190.08
16-06-2022,189.22
15-06-2022,192.65
14-06-2022,191.17
13-06-2022,190.58
10-06-2022,197.54
09-06-2022,198.17
08-06-2022,199.85
07-06-2022,194.97
06-06-2022,195.52
03-06-2022,191.55
02-06-2022,191.66
01-06-2022,193.07
31-05-2022,195.01
30-05-2022,191.11
27-05-2022,186.87
26-05-2022,181.97
25-05-2022,181.95
24-05-2022,181.09
23-05-2022,185.15
20-05-2022,186.59
19-05-2022,182.41
18-05-2022,186.1
17-05-2022,185.29
16-05-2022,180.04
13-05-2022,179.52
12-05-2022,175.42
11-05-2022,179.42
10-05-2022,178.34
09-05-2022,179.87
06-05-2022,182.11
05-05-2022,188.87
04-05-2022,189.73
03-05-2022,190.92
02-05-2022,191.69
29-04-2022,191.55
28-04-2022,184.75
27-04-2022,182.45
26-04-2022,182.56
25-04-2022,181.81
22-04-2022,188.24
21-04-2022,188.98
20-04-2022,192.15
19-04-2022,193.31
18-04-2022,195.98
15-04-2022,197.01
14-04-2022,198.02
13-04-2022,197.42
12-04-2022,195.31
11-04-2022,194.47
08-04-2022,200.26
07-04-2022,200.1
06-04-2022,204.08
05-04-2022,207.58
04-04-2022,208.19
01-04-2022,204.4
31-03-2022,203.76
30-03-2022,206.53
29-03-2022,203.15
28-03-2022,201.3
25-03-2022,200.95
24-03-2022,205.25
23-03-2022,207.17
22-03-2022,204.89
21-03-2022,200.59
18-03-2022,202.3
17-03-2022,202.12
16-03-2022,191.82
15-03-2022,177.11
14-03-2022,185.77
11-03-2022,194.89
10-03-2022,199.7
09-03-2022,197.33
08-03-2022,197.04
07-03-2022,201.02
04-03-2022,208.79
03-03-2022,213.92
02-03-2022,214.57
01-03-2022,217.05
28-02-2022,215.58
25-02-2022,215.58
24-02-2022,215.33
23-02-2022,221.9
22-02-2022,221.52
21-02-2022,225.86
18-02-2022,227.79
17-02-2022,230.8
16-02-2022,230.18
15-02-2022,227.05
14-02-2022,226.92
11-02-2022,230.78
10-02-2022,232.16
09-02-2022,230.02
08-02-2022,225.45
07-02-2022,226.65
04-02-2022,226.51
03-02-2022,222.65
02-02-2022,223.04
01-02-2022,223.42
31-01-2022,223.1
28-01-2022,219.88
27-01-2022,221.6
26-01-2022,226.32
25-01-2022,226.93
24-01-2022,230.95
21-01-2022,233.09
20-01-2022,234.94
19-01-2022,229.69
18-01-2022,230.46
17-01-2022,232.1
14-01-2022,232.63
13-01-2022,232.91
12-01-2022,234.08
11-01-2022,228.97
10-01-2022,228.08
07-01-2022,226.3
06-01-2022,224.63
05-01-2022,224.34
04-01-2022,228.14
03-01-2022,228
31-12-2021,228.18
30-12-2021,225.67
29-12-2021,224.34
28-12-2021,226.3
27-12-2021,225.52
24-12-2021,225.34
23-12-2021,225.43
22-12-2021,223.91
21-12-2021,223.08
20-12-2021,220
17-12-2021,224.84
16-12-2021,226.98
15-12-2021,226.11
14-12-2021,227.86
13-12-2021,230.62
10-12-2021,231.98
09-12-2021,234.04
08-12-2021,231.86
07-12-2021,231.07
06-12-2021,225.98
03-12-2021,229.05
02-12-2021,231.52
01-12-2021,230.5
30-11-2021,229.14
29-11-2021,231.08
26-11-2021,232.03
25-11-2021,237.41
24-11-2021,236.7
23-11-2021,237.02
22-11-2021,239.19
19-11-2021,239.87
18-11-2021,241.12
17-11-2021,243.66
16-11-2021,244.11
15-11-2021,241.59
12-11-2021,241.28
11-11-2021,240.15
10-11-2021,237.99
09-11-2021,236.43
08-11-2021,235.71
05-11-2021,235.61
04-11-2021,237.23
03-11-2021,236.3
02-11-2021,236.23
01-11-2021,237.49
29-10-2021,238.16
28-10-2021,239.91
27-10-2021,240.57
26-10-2021,243.53
25-10-2021,244.91
22-10-2021,244.8
21-10-2021,243.98
20-10-2021,244.74
19-10-2021,242.6
18-10-2021,238.65
15-10-2021,238.3
14-10-2021,234.02
13-10-2021,234.13
12-10-2021,233.57
11-10-2021,236.89
08-10-2021,234.31
07-10-2021,233.61
06-10-2021,226.88
05-10-2021,228.04
04-10-2021,227.76
01-10-2021,231.51
30-09-2021,232.93
29-09-2021,232.55
28-09-2021,234.69
27-09-2021,233.98
24-09-2021,233.55
23-09-2021,235.2
22-09-2021,233.03
21-09-2021,233.96
20-09-2021,233.44
17-09-2021,238.56
16-09-2021,236.52
15-09-2021,239.79
14-09-2021,243.59
13-09-2021,246.02
10-09-2021,249.15
09-09-2021,245.93
08-09-2021,249.98
07-09-2021,251.6
06-09-2021,249.84
03-09-2021,247.38
02-09-2021,247.57
01-09-2021,247.04
31-08-2021,245.45
30-08-2021,241.14
27-08-2021,238.94
26-08-2021,238.69
25-08-2021,240.79
24-08-2021,239.67
23-08-2021,232.2
20-08-2021,228.19
19-08-2021,231.11
18-08-2021,237.6
17-08-2021,235.83
16-08-2021,240.52
13-08-2021,243.25
12-08-2021,245.95
11-08-2021,247.81
10-08-2021,248.33
09-08-2021,246.28
06-08-2021,244.96
05-08-2021,246.04
04-08-2021,247.91
03-08-2021,245.79
02-08-2021,246.98
30-07-2021,243.38
29-07-2021,246.32
28-07-2021,238.91
27-07-2021,234.35
26-07-2021,244.19
23-07-2021,254.69
22-07-2021,259.89
21-07-2021,257.15
20-07-2021,256.55
19-07-2021,258.31
